player_name,mfl_player_id,year,position,positional_rank
Saquon Barkley,13604,2019,RB,1
Josh Rosen,13591,2019,QB,27
Rashaad Penny,13608,2019,RB,25
Sam Darnold,13592,2019,QB,18
Derrius Guice,13605,2019,RB,17
Ronald Jones,13606,2019,RB,38
Royce Freeman,13617,2019,RB,33
Sony Michel,13607,2019,RB,13
Christian Kirk,13633,2019,WR,32
Calvin Ridley,13629,2019,WR,21
D.J. Moore,13635,2019,WR,17
Baker Mayfield,13590,2019,QB,2
Hayden Hurst,13680,2019,TE,24
Josh Allen,13589,2019,QB,21
Courtland Sutton,13630,2019,WR,28
Nick Chubb,13610,2019,RB,8
Lamar Jackson,13593,2019,QB,16
Kerryon Johnson,13612,2019,RB,14
Mike Gesicki,13672,2019,TE,17
Anthony Miller,13639,2019,WR,40
Dante Pettis,13634,2019,WR,34
Michael Gallup,13646,2019,WR,43
James Washington,13631,2019,WR,42
Jordan Wilkins,13789,2019,RB,72
Chase Edmonds,13726,2019,RB,65
D.J. Chark,13668,2019,WR,79
Dallas Goedert,13674,2019,TE,11
Mason Rudolph,13595,2019,QB,44
Tre'Quan Smith,13645,2019,WR,51
Kalen Ballage,13621,2019,RB,52
Equanimeous St. Brown,13637,2019,WR,82
Nyheim Hines,13622,2019,RB,43
Bo Scarbrough,13615,2019,RB,126
John Kelly,13619,2019,RB,77
Keke Coutee,13662,2019,WR,45
DaeSean Hamilton,13649,2019,WR,55
